date,positive_rate
2011-04-04,9.8133
2011-04-11,7.12378
2011-04-18,4.4162
2011-04-25,3.34507
2011-05-02,1.91083
2011-05-09,1.10058
2011-05-16,0.84443
2011-05-23,0.665434
2011-05-30,0.532351
2011-06-06,0.265604
2011-06-13,0.426743
2011-06-20,0.254194
2011-06-27,0.25641
2011-07-04,0.333778
2011-07-11,0.6
2011-07-18,0.666667
2011-07-25,0.306044
2011-08-01,0.770308
2011-08-08,0.907188
2011-08-15,1.06242
2011-08-22,0.997067
2011-08-29,0.779221
2011-09-05,0.632296
2011-09-12,0.902837
2011-09-19,0.803982
2011-09-26,1.19863
2011-10-03,1.03383
2011-10-10,0.572979
2011-10-17,0.817518
2011-10-24,1.17365
2011-10-31,0.957055
2011-11-07,1.13269
2011-11-14,0.960699
2011-11-21,1.82571
2011-11-28,1.54209
2011-12-05,2.29299
2011-12-12,2.71097
2011-12-19,3.8245
2011-12-26,3.32724
2012-01-02,3.21617
2012-01-09,4.39993
2012-01-16,5.9657
2012-01-23,8.09932
2012-01-30,10.8783
2012-02-06,12.615
2012-02-13,14.8397
2012-02-20,18.9968
2012-02-27,23.8185
2012-03-05,28.183
2012-03-12,30.7187
2012-03-19,27.527
2012-03-26,21.557
2012-04-02,22.0762
2012-04-09,20.4473
2012-04-16,20.6363
2012-04-23,17.2691
2012-04-30,15.9885
2012-05-07,15.1687
2012-05-14,13.3298
2012-05-21,11.1558
2012-05-28,10.9053
2012-06-04,9.59083
2012-06-11,9.97239
2012-06-18,6.76157
2012-06-25,6.74058
2012-07-02,4.72081
2012-07-09,4.5809
2012-07-16,3.66667
2012-07-23,5.12695
2012-07-30,9.48635
2012-08-06,7.54141
2012-08-13,6.71731
2012-08-20,4.17745
2012-08-27,3.05899
2012-09-03,3.05422
2012-09-10,2.22561
2012-09-17,3.08483
2012-09-24,3.59002
2012-10-01,3.78905
2012-10-08,3.92755
2012-10-15,5.81063
2012-10-22,6.55861
2012-10-29,7.86164
2012-11-05,9.75799
2012-11-12,13.3611
2012-11-19,18.4179
2012-11-26,22.3829
2012-12-03,29.204
2012-12-10,32.6083
2012-12-17,37.4527
2012-12-24,37.8742
2012-12-31,35.2971
2013-01-07,34.2063
2013-01-14,30.5432
2013-01-21,29.5747
2013-01-28,26.5221
2013-02-04,22.7314
2013-02-11,20.8809
2013-02-18,20.037
2013-02-25,18.7262
2013-03-04,17.9144
2013-03-11,16.916
2013-03-18,15.913
2013-03-25,14.4522
2013-04-01,13.9339
2013-04-08,10.8261
2013-04-15,8.75336
2013-04-22,7.67419
2013-04-29,6.5867
2013-05-06,5.41024
2013-05-13,4.46124
2013-05-20,4.36905
2013-05-27,4.20965
2013-06-03,3.85906
2013-06-10,3.93362
2013-06-17,3.99752
2013-06-24,3.23441
2013-07-01,3.25708
2013-07-08,3.76932
2013-07-15,2.95527
2013-07-22,2.9361
2013-07-29,3.49157
2013-08-05,3.12751
2013-08-12,2.77778
2013-08-19,2.34375
2013-08-26,4.09182
2013-09-02,3.65311
2013-09-09,3.38701
2013-09-16,3.1893
2013-09-23,4.09051
2013-09-30,3.95032
2013-10-07,3.94284
2013-10-14,3.18911
2013-10-21,3.53381
2013-10-28,4.63901
2013-11-04,5.75954
2013-11-11,7.19145
2013-11-18,9.14657
2013-11-25,12.0813
2013-12-02,16.9043
2013-12-09,20.7899
2013-12-16,28.2198
2013-12-23,31.0706
2013-12-30,29.1749
2014-01-06,27.705
2014-01-13,26.7735
2014-01-20,24.3017
2014-01-27,20.4542
2014-02-03,19.0612
2014-02-10,16.406
2014-02-17,13.6425
2014-02-24,11.8806
2014-03-03,10.8357
2014-03-10,11.0513
2014-03-17,12.5365
2014-03-24,13.3207
2014-03-31,14.5133
2014-04-07,14.9603
2014-04-14,13.7184
2014-04-21,13.0442
2014-04-28,12.6513
2014-05-05,10.9823
2014-05-12,10.3669
2014-05-19,8.42127
2014-05-26,8.89216
2014-06-02,7.21578
2014-06-09,7.10145
2014-06-16,5.88084
2014-06-23,5.06698
2014-06-30,5.02545
2014-07-07,5.00491
2014-07-14,3.79548
2014-07-21,3.74161
2014-07-28,3.64069
2014-08-04,2.95997
2014-08-11,3.42508
2014-08-18,3.2944
2014-08-25,3.42311
2014-09-01,2.76792
