date,positive_rate
2012-04-09,498.0
2012-04-16,-646.0
2012-04-23,-947.0
2012-04-30,1084.0
2012-05-07,219.0
2012-05-14,-476.0
2012-05-21,843.0
2012-05-28,-734.0
2012-06-04,-153.0
2012-06-11,-256.0
2012-06-18,-983.0
2012-06-25,411.0
2012-07-02,-834.0
2012-07-09,1761.0
2012-07-16,1170.0
2012-07-23,-329.0
2012-07-30,-923.0
2012-08-06,2417.0
2012-08-13,1105.0
2012-08-20,719.0
2012-08-27,-249.0
2012-09-03,-616.0
2012-09-10,-769.0
2012-09-17,-582.0
2012-09-24,-611.0
2012-10-01,711.0
2012-10-08,-247.0
2012-10-15,-448.0
2012-10-22,838.0
2012-10-29,-1081.0
2012-11-05,-2043.0
2012-11-12,-702.0
2012-11-19,1439.0
2012-11-26,1260.0
2012-12-03,1380.0
2012-12-10,4220.0
2012-12-17,4484.0
2012-12-24,1407.0
2012-12-31,874.0
2013-01-07,239.0
2013-01-14,-1334.0
2013-01-21,-4515.0
2013-01-28,-4346.0
2013-02-04,-6418.0
2013-02-11,-1816.0
2013-02-18,-1688.0
2013-02-25,-4249.0
2013-03-04,144.0
2013-03-11,1137.0
2013-03-18,1640.0
2013-03-25,2260.0
2013-04-01,4422.0
2013-04-08,-48.0
2013-04-15,4530.0
2013-04-22,542.0
2013-04-29,-2309.0
2013-05-06,-307.0
2013-05-13,-775.0
2013-05-20,-2654.0
2013-05-27,-505.0
2013-06-03,-109.0
2013-06-10,686.0
2013-06-17,-626.0
2013-06-24,1535.0
2013-07-01,11.0
2013-07-08,-1996.0
2013-07-15,455.0
2013-07-22,-107.0
2013-07-29,104.0
2013-08-05,-1274.0
2013-08-12,108.0
2013-08-19,-1216.0
2013-08-26,-1254.0
2013-09-02,-256.0
2013-09-09,2000.0
2013-09-16,-119.0
2013-09-23,945.0
2013-09-30,-101.0
2013-10-07,1328.0
2013-10-14,-671.0
2013-10-21,1153.0
2013-10-28,-1003.0
2013-11-04,1641.0
2013-11-11,891.0
2013-11-18,-2740.0
2013-11-25,-493.0
2013-12-02,865.0
2013-12-09,-1434.0
2013-12-16,-2108.0
2013-12-23,410.0
2013-12-30,5099.0
2014-01-06,1095.0
2014-01-13,-300.0
2014-01-20,1176.0
2014-01-27,-885.0
2014-02-03,1917.0
2014-02-10,-2302.0
2014-02-17,-3239.0
2014-02-24,1705.0
2014-03-03,425.0
2014-03-10,1477.0
2014-03-17,524.0
2014-03-24,-214.0
2014-03-31,-3378.0
2014-04-07,-754.0
2014-04-14,-4637.0
2014-04-21,149.0
2014-04-28,1102.0
2014-05-05,260.0
2014-05-12,770.0
2014-05-19,2550.0
2014-05-26,958.0
2014-06-02,-740.0
2014-06-09,-405.0
2014-06-16,407.0
2014-06-23,637.0
2014-06-30,-1176.0
2014-07-07,929.0
2014-07-14,-2209.0
2014-07-21,742.0
2014-07-28,179.0
2014-08-04,-510.0
2014-08-11,-1202.0
2014-08-18,1411.0
2014-08-25,2338.0
2014-09-01,-224.0
2014-09-08,-296.0
2014-09-15,-505.0
2014-09-22,-161.0
2014-09-29,-1590.0
2014-10-06,-332.0
2014-10-13,2286.0
2014-10-20,-1623.0
2014-10-27,1764.0
2014-11-03,1109.0
2014-11-10,-775.0
2014-11-17,4818.0
2014-11-24,2302.0
2014-12-01,3590.0
2014-12-08,2485.0
2014-12-15,553.0
2014-12-22,-3448.0
2014-12-29,-13120.0
2015-01-05,-5138.0
2015-01-12,-3217.0
2015-01-19,495.0
2015-01-26,3533.0
2015-02-02,2725.0
2015-02-09,273.0
2015-02-16,3070.0
2015-02-23,-800.0
2015-03-02,296.0
2015-03-09,-1423.0
2015-03-16,-23.0
2015-03-23,-388.0
2015-03-30,285.0
2015-04-06,-462.0
2015-04-13,1524.0
2015-04-20,539.0
2015-04-27,-222.0
2015-05-04,123.0
2015-05-11,-96.0
2015-05-18,213.0
2015-05-25,1274.0
2015-06-01,398.0
2015-06-08,167.0
2015-06-15,290.0
2015-06-22,-2897.0
2015-06-29,1073.0
2015-07-06,192.0
2015-07-13,362.0
2015-07-20,-4.0
2015-07-27,2285.0
2015-08-03,1158.0
2015-08-10,182.0
2015-08-17,-1897.0
2015-08-24,-2832.0
2015-08-31,909.0
2015-09-07,-1499.0
2015-09-14,645.0
2015-09-21,-204.0
2015-09-28,2071.0
2015-10-05,379.0
2015-10-12,-626.0
2015-10-19,-647.0
2015-10-26,-1235.0
2015-11-02,-350.0
2015-11-09,-394.0
2015-11-16,-5932.0
2015-11-23,-1540.0
2015-11-30,-3091.0
2015-12-07,-3398.0
2015-12-14,-2404.0
2015-12-21,1745.0
2016-01-04,9731.0
2016-01-11,7249.0
2016-01-18,8215.0
2016-01-25,7744.0
2016-02-01,-759.0
2016-02-08,2112.0
2016-02-15,542.0
2016-02-22,-5590.0
2016-02-29,3542.0
2016-03-07,2822.0
2016-03-14,6613.0
2016-03-21,-4568.0
2016-03-28,-6377.0
2016-04-04,-5180.0
2016-04-11,-3796.0
2016-04-18,-3109.0
2016-04-25,275.0
2016-05-02,-781.0
2016-05-09,-802.0
2016-05-16,-426.0
2016-05-23,409.0
2016-05-30,-1015.0
2016-06-06,-354.0
2016-06-13,648.0
2016-06-20,-400.0
2016-06-27,599.0
2016-07-04,-330.0
2016-07-11,136.0
2016-07-18,592.0
2016-07-25,143.0
2016-08-01,-1021.0
2016-08-08,-1993.0
2016-08-15,825.0
2016-08-22,1315.0
