date,positive_rate
2012-04-09,-4592.0
2012-04-16,-555.0
2012-04-23,-284.0
2012-04-30,4879.0
2012-05-07,-567.0
2012-05-14,2107.0
2012-05-21,-636.0
2012-05-28,-1121.0
2012-06-04,28.0
2012-06-11,3154.0
2012-06-18,-5150.0
2012-06-25,1216.0
2012-07-02,2059.0
2012-07-09,3006.0
2012-07-16,2627.0
2012-07-23,-1130.0
2012-07-30,-4386.0
2012-08-06,-4024.0
2012-08-13,-1197.0
2012-08-20,-127.0
2012-08-27,-1371.0
2012-09-03,-833.0
2012-09-10,-1898.0
2012-09-17,1610.0
2012-09-24,-268.0
2012-10-01,2812.0
2012-10-08,-2481.0
2012-10-15,-1457.0
2012-10-22,1010.0
2012-10-29,-1330.0
2012-11-05,1709.0
2012-11-12,435.0
2012-11-19,-2445.0
2012-11-26,-373.0
2012-12-03,1986.0
2012-12-10,-183.0
2012-12-17,-2430.0
2012-12-24,-3599.0
2012-12-31,799.0
2013-01-07,2387.0
2013-01-14,7260.0
2013-01-21,4324.0
2013-01-28,-4366.0
2013-02-04,-7028.0
2013-02-11,-8653.0
2013-02-18,-3426.0
2013-02-25,3122.0
2013-03-04,3164.0
2013-03-11,-2710.0
2013-03-18,1119.0
2013-03-25,-2324.0
2013-04-01,13335.0
2013-04-08,10849.0
2013-04-15,898.0
2013-04-22,-5411.0
2013-04-29,-2887.0
2013-05-06,-4064.0
2013-05-13,-2251.0
2013-05-20,2980.0
2013-05-27,2849.0
2013-06-03,2249.0
2013-06-10,-4386.0
2013-06-17,1685.0
2013-06-24,906.0
2013-07-01,297.0
2013-07-08,-4780.0
2013-07-15,-5043.0
2013-07-22,-281.0
2013-07-29,4738.0
2013-08-05,5407.0
2013-08-12,-2386.0
2013-08-19,1421.0
2013-08-26,1138.0
2013-09-02,-491.0
2013-09-09,2864.0
2013-09-16,685.0
2013-09-23,-1795.0
2013-09-30,-2227.0
2013-10-07,3315.0
2013-10-14,-1476.0
2013-10-21,714.0
2013-10-28,3379.0
2013-11-04,-109.0
2013-11-11,-5207.0
2013-11-18,3618.0
2013-11-25,1624.0
2013-12-02,5577.0
2013-12-09,-162.0
2013-12-16,322.0
2013-12-23,6974.0
2013-12-30,11229.0
2014-01-06,-3609.0
2014-01-13,-10787.0
2014-01-20,-2979.0
2014-01-27,-8162.0
2014-02-03,-1494.0
2014-02-10,-2041.0
2014-02-17,-849.0
2014-02-24,4380.0
2014-03-03,-3270.0
2014-03-10,3757.0
2014-03-17,3297.0
2014-03-24,4449.0
2014-03-31,-10770.0
2014-04-07,-6904.0
2014-04-14,-1011.0
2014-04-21,4381.0
2014-04-28,901.0
2014-05-05,-1268.0
