date,positive_rate
2011-04-04,17331
2011-04-11,17542
2011-04-18,17569
2011-04-25,17326
2011-05-02,16977
2011-05-09,17018
2011-05-16,17911
2011-05-23,17275
2011-05-30,18129
2011-06-06,18822
2011-06-13,18734
2011-06-20,19363
2011-06-27,18964
2011-07-04,20365
2011-07-11,18762
2011-07-18,18106
2011-07-25,17968
2011-08-01,17495
2011-08-08,15930
2011-08-15,15263
2011-08-22,14533
2011-08-29,14457
2011-09-05,14282
2011-09-12,14547
2011-09-19,15465
2011-09-26,15152
2011-10-03,15282
2011-10-10,15200
2011-10-17,15511
2011-10-24,16090
2011-10-31,17289
2011-11-07,18380
2011-11-14,19633
2011-11-21,21283
2011-11-28,21442
2011-12-05,21019
2011-12-12,20112
2011-12-19,20115
2011-12-26,21140
2012-01-02,21225
2012-01-09,21591
2012-01-16,21294
2012-01-23,21360
2012-01-30,22303
2012-02-06,22299
2012-02-13,23547
2012-02-20,26884
2012-02-27,29206
2012-03-05,29048
2012-03-12,28844
2012-03-19,26759
2012-03-26,24508
2012-04-02,21607
2012-04-09,22316
2012-04-16,21697
2012-04-23,20507
2012-04-30,21242
2012-05-07,21502
2012-05-14,21919
2012-05-21,22126
2012-05-28,22246
2012-06-04,22786
2012-06-11,22442
2012-06-18,22088
2012-06-25,22100
2012-07-02,22667
2012-07-09,22825
2012-07-16,23339
2012-07-23,22872
2012-07-30,21476
2012-08-06,22328
2012-08-13,22766
2012-08-20,22755
2012-08-27,22430
2012-09-03,21639
2012-09-10,21135
2012-09-17,21471
2012-09-24,20547
2012-10-01,21388
2012-10-08,21059
2012-10-15,20922
2012-10-22,22339
2012-10-29,22457
2012-11-05,21505
2012-11-12,22056
2012-11-19,25145
2012-11-26,26564
2012-12-03,27521
2012-12-10,30834
2012-12-17,35321
2012-12-24,37753
2012-12-31,38712
2013-01-07,39317
2013-01-14,37686
2013-01-21,33237
2013-01-28,29834
2013-02-04,23412
2013-02-11,22844
2013-02-18,24493
2013-02-25,22566
2013-03-04,22552
2013-03-11,23485
2013-03-18,23040
2013-03-25,23049
2013-04-01,24570
2013-04-08,25231
2013-04-15,29142
2013-04-22,28494
2013-04-29,26920
2013-05-06,26873
2013-05-13,26515
2013-05-20,24068
2013-05-27,23683
2013-06-03,24114
2013-06-10,24456
2013-06-17,23476
2013-06-24,25023
2013-07-01,25601
2013-07-08,23763
2013-07-15,24732
2013-07-22,24158
2013-07-29,22866
2013-08-05,22444
2013-08-12,22990
2013-08-19,21763
2013-08-26,20184
2013-09-02,19137
2013-09-09,20633
2013-09-16,20850
2013-09-23,20871
2013-09-30,21611
2013-10-07,22610
2013-10-14,21802
2013-10-21,24372
2013-10-28,23487
2013-11-04,24176
2013-11-11,25618
2013-11-18,25967
2013-11-25,26893
2013-12-02,28715
2013-12-09,30594
2013-12-16,32973
2013-12-23,35815
2013-12-30,41873
2014-01-06,43573
2014-01-13,41642
2014-01-20,38369
2014-01-27,34081
2014-02-03,29576
2014-02-10,26706
2014-02-17,25116
2014-02-24,24894
2014-03-03,25305
2014-03-10,27715
2014-03-17,27794
2014-03-24,27589
2014-03-31,25732
2014-04-07,25639
2014-04-14,24913
2014-04-21,24414
2014-04-28,23942
2014-05-05,24155
2014-05-12,24567
2014-05-19,24670
2014-05-26,25243
2014-06-02,24934
2014-06-09,24871
2014-06-16,24298
2014-06-23,26482
2014-06-30,25884
2014-07-07,24975
2014-07-14,23735
2014-07-21,23903
2014-07-28,22790
2014-08-04,21858
2014-08-11,21202
2014-08-18,21386
2014-08-25,22145
2014-09-01,20874
2014-09-08,22074
2014-09-15,21786
2014-09-22,21646
2014-09-29,20796
2014-10-06,21463
2014-10-13,22941
2014-10-20,23888
2014-10-27,24767
2014-11-03,26565
2014-11-10,27232
2014-11-17,32399
2014-11-24,35627
2014-12-01,41039
2014-12-08,45403
2014-12-15,48335
2014-12-22,47729
2014-12-29,40667
2015-01-05,37229
2015-01-12,32081
2015-01-19,29303
2015-01-26,28548
2015-02-02,26768
2015-02-09,24171
2015-02-16,25651
2015-02-23,24629
2015-03-02,25336
2015-03-09,26323
2015-03-16,26379
2015-03-23,25786
2015-03-30,24214
2015-04-06,23659
2015-04-13,24457
2015-04-20,24497
2015-04-27,23803
2015-05-04,24139
2015-05-11,24455
2015-05-18,24771
2015-05-25,26618
2015-06-01,26707
2015-06-08,26811
2015-06-15,26528
2015-06-22,25815
2015-06-29,26290
2015-07-06,25573
2015-07-13,24695
2015-07-20,24859
2015-07-27,26031
2015-08-03,26257
2015-08-10,25783
2015-08-17,24070
2015-08-24,21997
2015-08-31,21635
2015-09-07,21336
2015-09-14,21693
2015-09-21,21349
2015-09-28,22570
2015-10-05,23616
2015-10-12,24468
2015-10-19,24768
2015-10-26,24412
2015-11-02,25860
2015-11-09,26133
2015-11-16,25368
2015-11-23,27056
2015-11-30,29377
2015-12-07,30343
2015-12-14,30871
2015-12-21,32010
2016-01-04,34679
2016-01-11,38490
2016-01-18,41557
2016-01-25,46523
2016-02-01,45009
2016-02-08,45341
2016-02-15,43286
2016-02-22,39176
2016-02-29,41696
2016-03-07,45225
2016-03-14,52825
2016-03-21,48313
2016-03-28,41343
2016-04-04,34591
2016-04-11,30240
2016-04-18,27929
2016-04-25,28244
2016-05-02,26769
2016-05-09,26303
2016-05-16,26193
2016-05-23,26918
2016-05-30,27750
2016-06-06,27485
2016-06-13,28237
2016-06-20,27554
2016-06-27,27440
2016-07-04,27585
2016-07-11,27004
2016-07-18,26718
2016-07-25,27025
2016-08-01,27176
2016-08-08,25409
2016-08-15,25760
2016-08-22,25362
2016-08-29,25376
2016-09-05,24377
2016-09-12,25728
2016-09-19,25601
2016-09-26,25615
2016-10-03,25493
2016-10-10,27215
2016-10-17,28335
2016-10-24,29576
2016-10-31,31386
2016-11-07,35928
2016-11-14,38562
2016-11-21,39910
2016-11-28,45961
2016-12-05,48382
2016-12-12,49935
2016-12-19,51262
2016-12-26,50685
2017-01-02,52535
2017-01-09,49618
2017-01-16,46145
2017-01-23,39498
2017-01-30,40479
2017-02-06,38083
2017-02-13,35639
2017-02-20,33268
2017-02-27,34685
2017-03-06,37635
2017-03-13,40403
2017-03-20,39471
2017-03-27,38138
2017-04-03,36394
2017-04-10,35867
2017-04-17,36007
2017-04-24,36051
2017-05-01,37175
2017-05-08,37863
2017-05-15,36868
2017-05-22,34991
2017-05-29,36237
2017-06-05,32093
2017-06-12,31926
2017-06-19,30138
2017-06-26,31418
2017-07-03,29054
2017-07-10,29728
2017-07-17,28785
2017-07-24,29360
2017-07-31,29359
2017-08-07,29503
2017-08-14,29459
2017-08-21,29450
2017-08-28,27574
2017-09-04,28979
2017-09-11,30292
2017-09-18,30968
2017-09-25,30856
2017-10-02,29717
2017-10-09,29042
2017-10-16,30780
2017-10-23,32678
2017-10-30,34859
2017-11-06,37946
2017-11-13,40700
2017-11-20,46618
2017-11-27,52943
2017-12-04,60763
2017-12-11,73784
2017-12-18,82353
2017-12-25,84603
2018-01-01,81055
2018-01-08,77054
2018-01-15,74237
2018-01-22,58922
