date,positive_rate
2011-04-04,31898
2011-04-11,34270
2011-04-18,35042
2011-04-25,36796
2011-05-02,33864
2011-05-09,36400
2011-05-16,36735
2011-05-23,35292
2011-05-30,33919
2011-06-06,33773
2011-06-13,34617
2011-06-20,36636
2011-06-27,36575
2011-07-04,34951
2011-07-11,33184
2011-07-18,32419
2011-07-25,31758
2011-08-01,30297
2011-08-08,29345
2011-08-15,29845
2011-08-22,27219
2011-08-29,27836
2011-09-05,27041
2011-09-12,30116
2011-09-19,29735
2011-09-26,28461
2011-10-03,27226
2011-10-10,26958
2011-10-17,29445
2011-10-24,29235
2011-10-31,29559
2011-11-07,28110
2011-11-14,29072
2011-11-21,31306
2011-11-28,29650
2011-12-05,29213
2011-12-12,30653
2011-12-19,33846
2011-12-26,37409
2012-01-02,37319
2012-01-09,37238
2012-01-16,32710
2012-01-23,28066
2012-01-30,31977
2012-02-06,31553
2012-02-13,37377
2012-02-20,43281
2012-02-27,41358
2012-03-05,43704
2012-03-12,46276
2012-03-19,45648
2012-03-26,45869
2012-04-02,41148
2012-04-09,38928
2012-04-16,39145
2012-04-23,40615
2012-04-30,42562
2012-05-07,44531
2012-05-14,46973
2012-05-21,44894
2012-05-28,42400
2012-06-04,42282
2012-06-11,46280
2012-06-18,43149
2012-06-25,44304
2012-07-02,44739
2012-07-09,45978
2012-07-16,47840
2012-07-23,46049
2012-07-30,40202
2012-08-06,35226
2012-08-13,34529
2012-08-20,31776
2012-08-27,31022
2012-09-03,29394
2012-09-10,30571
2012-09-17,31800
2012-09-24,30258
2012-10-01,31835
2012-10-08,29086
2012-10-15,30116
2012-10-22,30916
2012-10-29,29910
2012-11-05,30170
2012-11-12,31567
2012-11-19,31356
2012-11-26,29327
2012-12-03,30876
2012-12-10,32133
2012-12-17,32896
2012-12-24,32860
2012-12-31,33569
2013-01-07,35875
2013-01-14,38607
2013-01-21,38287
2013-01-28,37832
2013-02-04,30380
2013-02-11,27551
2013-02-18,30029
2013-02-25,31228
2013-03-04,36738
2013-03-11,36600
2013-03-18,37091
2013-03-25,34988
2013-04-01,43602
2013-04-08,52231
2013-04-15,53346
2013-04-22,49405
2013-04-29,48465
2013-05-06,46370
2013-05-13,46561
2013-05-20,47462
2013-05-27,47817
2013-06-03,49948
2013-06-10,49560
2013-06-17,48114
2013-06-24,50175
2013-07-01,50907
2013-07-08,47366
2013-07-15,44185
2013-07-22,42113
2013-07-29,41004
2013-08-05,41435
2013-08-12,38352
2013-08-19,37020
2013-08-26,37404
2013-09-02,35285
2013-09-09,39326
2013-09-16,41240
2013-09-23,37903
2013-09-30,37253
2013-10-07,37819
2013-10-14,37373
2013-10-21,38887
2013-10-28,41260
2013-11-04,41411
2013-11-11,37601
2013-11-18,41008
2013-11-25,40603
2013-12-02,47729
2013-12-09,48824
2013-12-16,49909
2013-12-23,56847
2013-12-30,68785
2014-01-06,67482
2014-01-13,59427
2014-01-20,56128
2014-01-27,47511
2014-02-03,38565
2014-02-10,33695
2014-02-17,35324
2014-02-24,40903
2014-03-03,43143
2014-03-10,46762
2014-03-17,50550
2014-03-24,52896
2014-03-31,50740
2014-04-07,52465
2014-04-14,52569
2014-04-21,53009
2014-04-28,52970
2014-05-05,49607
2014-05-12,51611
2014-05-19,53727
2014-05-26,58444
2014-06-02,60863
2014-06-09,60400
2014-06-16,56932
2014-06-23,58325
2014-06-30,59372
2014-07-07,59057
2014-07-14,56299
2014-07-21,54220
2014-07-28,50566
2014-08-04,47269
2014-08-11,44161
2014-08-18,41822
2014-08-25,39613
2014-09-01,39188
2014-09-08,41955
2014-09-15,40165
2014-09-22,42328
2014-09-29,41136
2014-10-06,40108
2014-10-13,37212
2014-10-20,38844
2014-10-27,38352
2014-11-03,36027
2014-11-10,36277
2014-11-17,38929
2014-11-24,39700
2014-12-01,37226
2014-12-08,37805
2014-12-15,40941
2014-12-22,43680
2014-12-29,47815
2015-01-05,50379
2015-01-12,55450
2015-01-19,48908
2015-01-26,44727
2015-02-02,43785
2015-02-09,37490
2015-02-16,37713
2015-02-23,34698
2015-03-02,37717
2015-03-09,43763
2015-03-16,45280
2015-03-23,47364
2015-03-30,43363
2015-04-06,47356
2015-04-13,47120
2015-04-20,48151
2015-04-27,49261
2015-05-04,52032
2015-05-11,55729
2015-05-18,59855
2015-05-25,70850
2015-06-01,74755
2015-06-08,72914
2015-06-15,72282
2015-06-22,67522
2015-06-29,60662
2015-07-06,58963
2015-07-13,58465
2015-07-20,60306
2015-07-27,51947
2015-08-03,47011
2015-08-10,44145
2015-08-17,41915
2015-08-24,38806
2015-08-31,39110
2015-09-07,41765
2015-09-14,41435
2015-09-21,39614
2015-09-28,37291
2015-10-05,40905
2015-10-12,43923
2015-10-19,41366
2015-10-26,41043
2015-11-02,39952
2015-11-09,42177
2015-11-16,41055
2015-11-23,42741
2015-11-30,46154
2015-12-07,48438
2015-12-14,52438
2015-12-21,54306
2016-01-04,56727
2016-01-11,55814
2016-01-18,53966
2016-01-25,49561
2016-02-01,45814
2016-02-08,49878
2016-02-15,48721
2016-02-22,47964
2016-02-29,59425
2016-03-07,60355
2016-03-14,69911
2016-03-21,73166
2016-03-28,72858
2016-04-04,68815
2016-04-11,66249
2016-04-18,62413
2016-04-25,62128
2016-05-02,64313
2016-05-09,64166
2016-05-16,61589
2016-05-23,56268
2016-05-30,58245
2016-06-06,57913
2016-06-13,59060
2016-06-20,57568
2016-06-27,54164
2016-07-04,53981
2016-07-11,50940
2016-07-18,49400
2016-07-25,46908
2016-08-01,43228
2016-08-08,43237
2016-08-15,42042
2016-08-22,41969
2016-08-29,39099
2016-09-05,39720
2016-09-12,42195
2016-09-19,45177
2016-09-26,42100
2016-10-03,43484
2016-10-10,42586
2016-10-17,46280
2016-10-24,48800
2016-10-31,50063
2016-11-07,51758
2016-11-14,57752
2016-11-21,55850
2016-11-28,58833
2016-12-05,62522
2016-12-12,58940
2016-12-19,60697
2016-12-26,57527
2017-01-02,59483
2017-01-09,56721
2017-01-16,51673
2017-01-23,45143
2017-01-30,44662
2017-02-06,43240
2017-02-13,46229
2017-02-20,45810
2017-02-27,50604
2017-03-06,51904
2017-03-13,53088
2017-03-20,55043
2017-03-27,57948
2017-04-03,60633
2017-04-10,59774
2017-04-17,60938
2017-04-24,58807
2017-05-01,59205
2017-05-08,60110
2017-05-15,62365
2017-05-22,61825
2017-05-29,62737
2017-06-05,61015
2017-06-12,63034
2017-06-19,68337
2017-06-26,73586
2017-07-03,77826
2017-07-10,78737
2017-07-17,73229
2017-07-24,67513
2017-07-31,60555
2017-08-07,62019
2017-08-14,62841
2017-08-21,61261
2017-08-28,56069
2017-09-04,55048
2017-09-11,60356
2017-09-18,56970
2017-09-25,55709
2017-10-02,54925
2017-10-09,50423
2017-10-16,48177
2017-10-23,54264
2017-10-30,56455
2017-11-06,56706
2017-11-13,55340
2017-11-20,58005
2017-11-27,65481
2017-12-04,73030
2017-12-11,75777
2017-12-18,91988
2017-12-25,113426
2018-01-01,125277
2018-01-08,126908
2018-01-15,153025
2018-01-22,118457
2018-01-29,95708
2018-02-05,93150
2018-02-12,88171
2018-02-19,83076
2018-02-26,77801
2018-03-05,70306
2018-03-12,70633
2018-03-19,67699
2018-03-26,70627
2018-04-02,68584
2018-04-09,68189
2018-04-16,70553
2018-04-23,71245
2018-04-30,74327
2018-05-07,75697
2018-05-14,81444
2018-05-21,84539
2018-05-28,85770
2018-06-04,88542
2018-06-11,82144
2018-06-18,72483
2018-06-25,70859
2018-07-02,65069
2018-07-09,62498
2018-07-16,58984
2018-07-23,56478
2018-07-30,55102
2018-08-06,52013
2018-08-13,50179
2018-08-20,48100
2018-08-27,45656
2018-09-03,45725
2018-09-10,49165
2018-09-17,52012
2018-09-24,54951
2018-10-01,54555
2018-10-08,49275
2018-10-15,50243
2018-10-22,52795
2018-10-29,57127
2018-11-05,53491
2018-11-12,55427
2018-11-19,59063
2018-11-26,66697
2018-12-03,69086
2018-12-10,70838
2018-12-17,84109
2018-12-24,90809
